comment,rating,created_at,sentiment,confidence
chất lượng sản phẩm:oke đúng với mô tả:đúng tính năng nổi bật:nút camera nói chung tui vẫn ủnh hộ iphone từ 5s đến giờ vãn không thay đổi 1 năm thay 1 cái tự thưởng cho chính mình mong năm sau vẫn có chút tiền để đổi ạ,5,1727610536,1 star,0.4371422827243805
đúng với mô tả:quá là đẳng cấp chất lượng sản phẩm:đẹp như ngọc trinh tính năng nổi bật:dành cho người giàu mua đầu hehe may mắn khi mua được em 16 promax 256gb gold và được giao sớm vào ngày 2709 quá là tuyệt vời bà mặt zời luôn quét mã qr để kiếm cùng em ngocnam,5,1727681621,1 star,0.33930280804634094
tính năng nổi bật:tuyet cu meo đúng hàng chính hãng apple nguyên seal nguyên tem màu khui ra active kích hoạt đúng ngày bảo hành mua dịp sale 1111 nên có giá tốt,5,1731411885,1 star,0.33598238229751587
chất lượng sản phẩm:m điện thoại giao nhanh hơn mình tưởng nghĩ 3 ngày có mà đặt hôm trước sáng hôm sau nhận được liền hàng chính hãng rẻ hởn ngoài tiệm 1 triệu,5,1728107877,1 star,0.34369784593582153
đúng với mô tả:ok tính năng nổi bật:ai intelligence chất lượng sản phẩm:tốt mua dc giảm giá 2tr nên giá tốt hơn ngoài store giao nhanh,5,1729673385,1 star,0.428351491689682
năm nào iphone mới cũng là một cái gì đó khó cưỡng dù chưa có nhiều thay đổi chỉ một chút cải tiến cũng đã làm dân tình mê mẩn chất lượng thì khỏi bàn rồi giá cũng rất tốt nữa cứ hàng chính hãng mà mua thôi,5,1729076337,1 star,0.3961212635040283
tôi vô cùng hài lòng với sản phẩm này chất lượng thật sự vượt xa mong đợi của tôi thiết kế tinh tế chắc chắn và rất dễ sử dụng chất liệu được lựa chọn kỹ càng cho cảm giác thoải mái và bền bỉ khi sử dụng những tính năng được tích hợp rất hữu ích và thực sự giúp tôi hoàn thành công việc một cách hiệu quả tôi chắc chắn sẽ tiếp tục sử dụng sản phẩm này và giới thiệu nó tới bạn bè gia đình đây thực sự là một sản phẩm tuyệt vời mà tôi hoàn toàn tin tưởng và khuyên các bạn nên thử qua,5,1729245359,1 star,0.40673303604125977
đúng với mô tả:ưng chất lượng sản phẩm:tốt tính năng nổi bật:cam nói chung mua của mall thì hoàn toàn yên tâm săn sale rẻ hơn gần 2 triệu nếu mua trực tiếp tại shop,5,1731515135,1 star,0.5219370126724243
chất lượng sản phẩm:ok đúng với mô tả:ok tính năng nổi bật:ok sống chỉ sợ trời phật không thương chứ sợ gì người thường không quý,5,1729988470,1 star,0.34477293491363525
đúng với mô tả:đúng mô tả chính hãng nguyên seal chất lượng sản phẩm:tốt cảm ơn shop hài lòng và sẽ ủng hộ lâu dài ko móp đầu hộp thì thật tuyệt với,5,1731739481,1 star,0.468948096036911
áo chất liệu mềm mát vừa vặn mặc phù hợp mùa thu màu sắc tưoi sáng dễ mặc sáng da mua được giá tốt recommend mọi người mua ạ,5,1728547666,1 star,0.3782978057861328
