comment,rating,created_at
"Cuốn sách tương đối ổn, tuy nhiên nội dung cuốn sách hơi đi sâu vào việc phân tích tâm lý của con người một chút, và có chút hơi khó hiểu, nên đọc chậm một chút. Cuốn sách cũng được viết một cách liên tục chứ không chia thành nhiều chương nhiều phần nên đôi khi cứ đọc một lèo không có điểm dừng. Tuy nhiên cuốn sách được viết trong một thời gian rất ngắn nên cũng không thể đòi hỏi gì nhiều. Những nội dung của cuốn sách được viết từ thời điểm còn chiến tranh nhưng vẫn có thể áp dụng tốt ở hiện tại. Chỉ cần con người có một lý do để sống tiếp thì dù có khó khăn như thế nào cũng có thể vượt qua được. Rất cảm ơn tác giả ạ, cháu sẽ còn đọc lại cuốn sách này của ông. Về vấn đề đóng gói và ship thì 10 điểm rồi nên không có gì để nói nhiều. Cảm ơn Tiki rất nhiều",5,1730183034
"Tiki mn chê gì chứ, riêng mảng sách thì không thể chê
Giao hàng nhanh, đóng gói tỉ mỉ, có chống sốc 
       ------*************************------
Nội dụng cuốn này riêng với t sau khi đọc đến 3/4 thì tui cảm thấynhay (như những gì t suy nghĩ, mong đợi).
Với phần 1 là 1 hồi kí được tóm gọn trong khoảng 120 trang nhưng không đi quá sâu vào chi tiết các tội ác man rợ của phát xít Đức (như những cuốn cùng chủ đề thường viết). Từ những câu chuyện độc đáo, kinh khủng trong trại tập trung tác giả đã làm rõ nên những bài học về tâm lí, về ý nghĩa cuộc sống. Nếu ta là các tù nhân trong trại tập trung, ta sẽ học được gì trong sự khổ đau ấy? Hay là sự đầu hàng số phận, buông xuôi. Tôi tin rằng ý nghĩa cuộc sống của mỗi người, của từng thời điểm là khác nhau. Nhưng cái cốt lõi là sống vì sự hy vọng, vì cái tươi sáng của tương lai. Trong hoàn cảnh nào khi xảy ra với mình dù tiêu cực, thì theo cách mn suy nghĩ nó có thể là 1 bài học hay ho, 1 ""bàn đạp"" cho tương lai.
CHỐT LẠI SÁCH HAY, NÊN MUA, 4*",5,1711113760
"40k cho 1 cuốn sách quá tuyệt vời
Sách mới tinh ko hề trầy xước hay bị cũ 
10 điểm cho cách gói và giao hàng của tiki 
Mình nhận thấy tiki đã cải thiện loại bìa gói hàng ko bị mềm như trc nữa cũng nhờ vậy mà gói hàng rất vuông vắn đảm bảo chất lượng sách đến tay người dùng 
Nội dung sách mn lên mạng xem rv nha 
Ko hối hận đâu 
❤️Tiki",5,1668280215
Đóng hàng rất chắc chắn và đẹp. Sách đến tay còn nguyên vẹn. Rất  thích các sách do First News xuất bản. Lý do mình mua cuốn “Đi tìm lẽ sống này” là vì mình muốn biết rằng tại sao ở nơi địa ngục như Trại tập trung của Đức Quốc Xã mà con người vẫn có thể tiếp tục sống. Niềm tin khiến họ cố gắng là gì? Ý nghĩa cuộc sống là sao. Một quyển sách đáng để đọc,5,1682229784
"Chất giấy quá tệ, ko khác gì sách lậu, mua 3 quyển của First News 1 lúc mà ko thể chấp nhận chất giấy của cuốn nào, dịch nên giao hàng muộn 1 tuần so với dự kiến cũng ko thông tin đến khách hàng, trong khi mình thanh toán tiền trước, vì dịch nên mình cũng thông cảm nhưng thấy chất giấy của sách thì ko thể chấp nhận được. 1*",1,1634702384
"Khoảng 2/3 đầu sách là một câu chuyện đáng ngưỡng mộ, phần sau là công trình của tác giả. 


(Ý kiến cá nhân) Tư tưởng trong sách đáng để thử sống theo. Một vài nội dung bị nhai đi nhai lại hơi nhiều trong sách, có lẽ vì cùng một nguyên lý được tác giả áp dụng ở đầu lại được nhắc lại ở phần 2.",4,1711960162
"Cuốn sách dành cho những ai đang mất đi nghị lực sống.Đọc để biết những khó khăn hàng ngày chúng ta đang trải qua, những nỗi đau vì thất tình hay cảm giác không muốn sống khi  công việc mất phương hướng, trở  nên thật nhỏ bé khi so sánh với những trải nghiệm mà tác giả đã trải qua.
-Đôi khi xuôi theo dòng chảy của số phận , đôi khi sống hi sing vì người khác, cũng là đang cho mình một cơ hội sống. Cuốn sách rất hay ạ, Tuy hơi sốc ở đoạn đầu .",5,1709866742
"Một cuóin sách kinh điển nữa về đề tài diệt chủng Do Thái. Một cuốn sách được ví von như thần dược để nâng đỡ tinh thần con người khi đối mặt với cảm giác tuyệt vọng vì mất đi tất cả. 

Ý nghĩa của cuộc sống có thể tìm thấy trong mọi khoảnh khắc; cuộc sống không bao giờ mất hết ý nghĩa, ngay cả khi phải chịu đau đớn và cái chết.",5,1644595338
"Sách bọc cẩn thận, giao hàng nhanh.
Về nội dung sách: Quá trình, diễn biến tâm lý của tác giải trong trại giam giữ của người Đức, cái cách mà tác giả vượt qua nó. Ông không tập trung vào nỗi đau hay tái hiện lại môi trường khắc khổ ở đó nhưng từng câu chữ giúp người đọc tưởng tượng ra cuộc sống ở đó.",5,1686501267
"Sách lồng ghép những câu chuyện khi ông còn ở trại tập trung để bàn đến khát vọng sống của con người trong bất kì hoàn cảnh nào, cả mục đích sống nữa. Những đoạn thuần về ý nghĩa không lồng ghép câu chuyện thì phải tập trung và nghiền ngẫm kĩ mới hiểu rõ được",5,1685932082
